timestamp,true_z,est_z,z_error,covariance_scale_factor,noise_gate_active
6.080000,0.000000,-0.008574,0.008574,0.888889,0
6.082500,0.000000,-0.016360,0.016360,0.888889,0
6.085000,0.000000,-0.017221,0.017221,0.888889,0
6.087500,0.000000,-0.017185,0.017185,0.888889,0
6.090000,0.000000,-0.005456,0.005456,0.888889,0
6.092500,0.000000,-0.004199,0.004199,0.888889,0
6.095000,0.000000,-0.002703,0.002703,0.888889,0
6.097500,0.000000,-0.019448,0.019448,0.888889,0
6.100000,0.000000,-0.027961,0.027961,0.888889,0
6.102500,0.000000,-0.016316,0.016316,0.920635,0
6.105000,0.000000,-0.036204,0.036204,0.920635,0
6.107500,0.000000,-0.021888,0.021888,0.920635,0
6.110000,0.000000,-0.016303,0.016303,0.920635,0
6.112500,0.000000,-0.023133,0.023133,0.920635,0
6.115000,0.000000,-0.030577,0.030577,0.920635,0
6.117500,0.000000,-0.011039,0.011039,0.920635,0
6.120000,0.000000,0.003137,-0.003137,0.920635,0
6.122500,0.000000,0.001870,-0.001870,0.920635,0
6.125000,0.000000,0.003130,-0.003130,0.920635,0
6.127500,0.000000,-0.003294,0.003294,0.920635,0
6.130000,0.000000,-0.001873,0.001873,0.920635,0
6.132500,0.000000,-0.008410,0.008410,0.920635,0
6.135000,0.000000,-0.008918,0.008918,0.920635,0
6.137500,0.000000,0.009065,-0.009065,0.920635,0
6.140000,0.000000,0.007981,-0.007981,1.047619,0
6.142500,0.000000,-0.001414,0.001414,1.047619,0
6.145000,0.000000,-0.013369,0.013369,1.047619,0
6.147500,0.000000,-0.011878,0.011878,1.047619,0
6.150000,0.000000,-0.018260,0.018260,1.047619,0
6.152500,0.000000,-0.015568,0.015568,1.047619,0
6.155000,0.000000,-0.029489,0.029489,1.047619,0
6.157500,0.000000,-0.022528,0.022528,1.047619,0
6.160000,0.000000,-0.031101,0.031101,1.079365,0
6.162500,0.000000,-0.029843,0.029843,1.079365,0
6.165000,0.000000,-0.031969,0.031969,1.079365,0
6.167500,0.000000,-0.016080,0.016080,1.079365,0
6.170000,0.000000,-0.014135,0.014135,1.079365,0
6.172500,0.000000,0.003318,-0.003318,1.079365,0
6.175000,0.000000,0.008153,-0.008153,1.079365,0
6.177500,0.000000,0.020473,-0.020473,1.079365,0
6.180000,0.000000,0.018061,-0.018061,1.079365,0
6.182500,0.000000,0.020608,-0.020608,1.079365,0
6.185000,0.000000,0.030811,-0.030811,1.079365,0
6.187500,0.000000,0.037965,-0.037965,1.079365,0
6.190000,0.000000,0.041610,-0.041610,1.079365,0
6.192500,0.000000,0.037528,-0.037528,1.079365,0
6.195000,0.000000,0.035061,-0.035061,1.079365,0
6.197500,0.000000,0.044203,-0.044203,1.079365,0
6.200000,0.000000,0.054953,-0.054953,1.079365,0
6.202500,0.000000,0.048113,-0.048113,1.079365,0
6.205000,0.000000,0.040112,-0.040112,1.079365,0
6.207500,0.000000,0.030896,-0.030896,1.079365,0
6.210000,0.000000,0.037445,-0.037445,1.079365,0
6.212500,0.000000,0.028063,-0.028063,1.079365,0
6.215000,0.000000,0.034594,-0.034594,1.079365,0
6.217500,0.000000,0.038506,-0.038506,1.079365,0
6.220000,0.000000,0.032675,-0.032675,1.111111,0
6.222500,0.000000,0.045463,-0.045463,1.111111,0
6.225000,0.000000,0.031383,-0.031383,1.111111,0
6.227500,0.000000,0.045078,-0.045078,1.111111,0
6.230000,0.000000,0.046628,-0.046628,1.111111,0
6.232500,0.000000,0.027091,-0.027091,1.111111,0
6.235000,0.000000,0.040354,-0.040354,1.111111,0
6.237500,0.000000,0.047799,-0.047799,1.111111,0
6.240000,0.000000,0.042687,-0.042687,1.111111,0
6.242500,0.000000,0.033667,-0.033667,1.206349,0
6.245000,0.000000,0.019886,-0.019886,1.206349,0
6.247500,0.000000,0.039286,-0.039286,1.206349,0
6.250000,0.000000,0.030626,-0.030626,1.206349,0
6.252500,0.000000,0.019354,-0.019354,1.206349,0
6.255000,0.000000,0.021070,-0.021070,1.206349,0
6.257500,0.000000,0.006887,-0.006887,1.206349,0
6.260000,0.000000,-0.001100,0.001100,1.269841,0
6.262500,0.000000,0.006872,-0.006872,1.269841,0
6.265000,0.000000,0.010415,-0.010415,1.269841,0
6.267500,0.000000,0.007049,-0.007049,1.269841,0
6.270000,0.000000,0.007017,-0.007017,1.269841,0
6.272500,0.000000,0.003267,-0.003267,1.269841,0
6.275000,0.000000,0.002682,-0.002682,1.269841,0
6.277500,0.000000,-0.003561,0.003561,1.269841,0
6.280000,0.000000,-0.008290,0.008290,1.238095,0
6.282500,0.000000,-0.013153,0.013153,1.238095,0
6.285000,0.000000,-0.018854,0.018854,1.238095,0
6.287500,0.000000,-0.009648,0.009648,1.238095,0
6.290000,0.000000,-0.002961,0.002961,1.238095,0
6.292500,0.000000,-0.010679,0.010679,1.238095,0
6.295000,0.000000,-0.020393,0.020393,1.238095,0
6.297500,0.000000,-0.021171,0.021171,1.238095,0
6.300000,0.000000,-0.002535,0.002535,1.238095,0
6.302500,0.000000,-0.012211,0.012211,1.079365,0
6.305000,0.000000,-0.013371,0.013371,1.079365,0
6.307500,0.000000,-0.012134,0.012134,1.079365,0
6.310000,0.000000,-0.012796,0.012796,1.079365,0
6.312500,0.000000,-0.016724,0.016724,1.079365,0
6.315000,0.000000,-0.005390,0.005390,1.079365,0
6.317500,0.000000,-0.000974,0.000974,1.079365,0
6.320000,0.000000,0.007175,-0.007175,1.047619,0
6.322500,0.000000,0.012602,-0.012602,1.047619,0
6.325000,0.000000,0.020762,-0.020762,1.047619,0
6.327500,0.000000,0.035240,-0.035240,1.047619,0
6.330000,0.000000,0.046843,-0.046843,1.047619,0
6.332500,0.000000,0.067511,-0.067511,1.047619,0
6.335000,0.000000,0.077025,-0.077025,1.047619,0
6.337500,0.000000,0.068387,-0.068387,1.047619,0
6.340000,0.000000,0.074870,-0.074870,0.952381,0
6.342500,0.000000,0.079716,-0.079716,0.952381,0
6.345000,0.000000,0.096720,-0.096720,0.952381,0
6.347500,0.000000,0.083791,-0.083791,0.952381,0
6.350000,0.000000,0.086757,-0.086757,0.952381,0
6.352500,0.000000,0.077116,-0.077116,0.952381,0
6.355000,0.000000,0.079819,-0.079819,0.952381,0
6.357500,0.000000,0.075133,-0.075133,0.952381,0
6.360000,0.000000,0.077358,-0.077358,1.047619,0
6.362500,0.000000,0.062134,-0.062134,1.047619,0
6.365000,0.000000,0.067623,-0.067623,1.047619,0
6.367500,0.000000,0.067552,-0.067552,1.047619,0
6.370000,0.000000,0.066987,-0.066987,1.047619,0
6.372500,0.000000,0.082978,-0.082978,1.047619,0
6.375000,0.000000,0.077046,-0.077046,1.047619,0
6.377500,0.000000,0.077953,-0.077953,1.047619,0
6.380000,0.000000,0.076608,-0.076608,1.047619,0
6.382500,0.000000,0.076201,-0.076201,1.047619,0
